"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19783","Плейсхолдеры полей ввода repetition 4 of 5","","Wed Aug 27 23:09:50 MSK 2025","passed","Wed Aug 27 23:10:10 MSK 2025","","Tests.Homework_2_10.PlaceholdersPayTest","Tests.Homework_2_10.PlaceholdersPayTest","placeholdersPayTest"
"","23664","Опция «Услуга связи» repetition 5 of 5","","Wed Aug 27 23:08:28 MSK 2025","passed","Wed Aug 27 23:08:52 MSK 2025","","Tests.Homework_2_10.ConnectionPayTest","Tests.Homework_2_10.ConnectionPayTest","paymentTest"
"","22118","Опция «Услуга связи» repetition 4 of 5","","Wed Aug 27 23:08:06 MSK 2025","passed","Wed Aug 27 23:08:28 MSK 2025","","Tests.Homework_2_10.ConnectionPayTest","Tests.Homework_2_10.ConnectionPayTest","paymentTest"
"","6428","Гиперссылка «Подробнее о сервисе» repetition 2 of 5","","Wed Aug 27 23:06:38 MSK 2025","passed","Wed Aug 27 23:06:44 MSK 2025","","Tests.Homework_2_9_PageObject.HrefHelpPayTest","Tests.Homework_2_9_PageObject.HrefHelpPayTest","helpHrefPay"
"","19930","Плейсхолдеры полей ввода repetition 3 of 5","","Wed Aug 27 23:09:30 MSK 2025","passed","Wed Aug 27 23:09:50 MSK 2025","","Tests.Homework_2_10.PlaceholdersPayTest","Tests.Homework_2_10.PlaceholdersPayTest","placeholdersPayTest"
"","4585","Логотипы платёжных систем repetition 4 of 5","","Wed Aug 27 23:07:15 MSK 2025","passed","Wed Aug 27 23:07:19 MSK 2025","","Tests.Homework_2_9_PageObject.LogoPayTest","Tests.Homework_2_9_PageObject.LogoPayTest","logoPayTest"
"","3944","Наименование заголовка «Онлайн пополнение без комиссии» repetition 5 of 5","","Wed Aug 27 23:06:28 MSK 2025","passed","Wed Aug 27 23:06:32 MSK 2025","","Tests.Homework_2_9_PageObject.HeaderNamePayTest","Tests.Homework_2_9_PageObject.HeaderNamePayTest","headerNamePayTest"
"","4378","Логотипы платёжных систем repetition 2 of 5","","Wed Aug 27 23:07:06 MSK 2025","passed","Wed Aug 27 23:07:11 MSK 2025","","Tests.Homework_2_9_PageObject.LogoPayTest","Tests.Homework_2_9_PageObject.LogoPayTest","logoPayTest"
"","3897","Наименование заголовка «Онлайн пополнение без комиссии» repetition 4 of 5","","Wed Aug 27 23:06:24 MSK 2025","passed","Wed Aug 27 23:06:28 MSK 2025","","Tests.Homework_2_9_PageObject.HeaderNamePayTest","Tests.Homework_2_9_PageObject.HeaderNamePayTest","headerNamePayTest"
"","5407","Гиперссылка «Подробнее о сервисе» repetition 4 of 5","","Wed Aug 27 23:06:51 MSK 2025","passed","Wed Aug 27 23:06:56 MSK 2025","","Tests.Homework_2_9_PageObject.HrefHelpPayTest","Tests.Homework_2_9_PageObject.HrefHelpPayTest","helpHrefPay"
"","14658","Наименование заголовка «Онлайн пополнение без комиссии» repetition 2 of 5","","Wed Aug 27 23:06:06 MSK 2025","passed","Wed Aug 27 23:06:20 MSK 2025","","Tests.Homework_2_9_PageObject.HeaderNamePayTest","Tests.Homework_2_9_PageObject.HeaderNamePayTest","headerNamePayTest"
"","6659","Гиперссылка «Подробнее о сервисе» repetition 3 of 5","","Wed Aug 27 23:06:44 MSK 2025","passed","Wed Aug 27 23:06:51 MSK 2025","","Tests.Homework_2_9_PageObject.HrefHelpPayTest","Tests.Homework_2_9_PageObject.HrefHelpPayTest","helpHrefPay"
"","5660","Гиперссылка «Подробнее о сервисе» repetition 1 of 5","","Wed Aug 27 23:06:32 MSK 2025","passed","Wed Aug 27 23:06:38 MSK 2025","","Tests.Homework_2_9_PageObject.HrefHelpPayTest","Tests.Homework_2_9_PageObject.HrefHelpPayTest","helpHrefPay"
"","4774","Наименование заголовка «Онлайн пополнение без комиссии» repetition 1 of 5","","Wed Aug 27 23:06:01 MSK 2025","passed","Wed Aug 27 23:06:06 MSK 2025","","Tests.Homework_2_9_PageObject.HeaderNamePayTest","Tests.Homework_2_9_PageObject.HeaderNamePayTest","headerNamePayTest"
"","3849","Наименование заголовка «Онлайн пополнение без комиссии» repetition 3 of 5","","Wed Aug 27 23:06:20 MSK 2025","passed","Wed Aug 27 23:06:24 MSK 2025","","Tests.Homework_2_9_PageObject.HeaderNamePayTest","Tests.Homework_2_9_PageObject.HeaderNamePayTest","headerNamePayTest"
"","4200","Логотипы платёжных систем repetition 3 of 5","","Wed Aug 27 23:07:11 MSK 2025","passed","Wed Aug 27 23:07:15 MSK 2025","","Tests.Homework_2_9_PageObject.LogoPayTest","Tests.Homework_2_9_PageObject.LogoPayTest","logoPayTest"
"","18216","Плейсхолдеры полей ввода repetition 5 of 5","","Wed Aug 27 23:10:10 MSK 2025","passed","Wed Aug 27 23:10:28 MSK 2025","","Tests.Homework_2_10.PlaceholdersPayTest","Tests.Homework_2_10.PlaceholdersPayTest","placeholdersPayTest"
"","4129","Логотипы платёжных систем repetition 5 of 5","","Wed Aug 27 23:07:19 MSK 2025","passed","Wed Aug 27 23:07:23 MSK 2025","","Tests.Homework_2_9_PageObject.LogoPayTest","Tests.Homework_2_9_PageObject.LogoPayTest","logoPayTest"
"","19683","Плейсхолдеры полей ввода repetition 2 of 5","","Wed Aug 27 23:09:10 MSK 2025","passed","Wed Aug 27 23:09:30 MSK 2025","","Tests.Homework_2_10.PlaceholdersPayTest","Tests.Homework_2_10.PlaceholdersPayTest","placeholdersPayTest"
"","14166","Опция «Услуга связи» repetition 2 of 5","","Wed Aug 27 23:07:38 MSK 2025","passed","Wed Aug 27 23:07:52 MSK 2025","","Tests.Homework_2_10.ConnectionPayTest","Tests.Homework_2_10.ConnectionPayTest","paymentTest"
"","4225","Логотипы платёжных систем repetition 1 of 5","","Wed Aug 27 23:07:02 MSK 2025","passed","Wed Aug 27 23:07:06 MSK 2025","","Tests.Homework_2_9_PageObject.LogoPayTest","Tests.Homework_2_9_PageObject.LogoPayTest","logoPayTest"
"","14557","Опция «Услуга связи» repetition 1 of 5","","Wed Aug 27 23:07:23 MSK 2025","passed","Wed Aug 27 23:07:38 MSK 2025","","Tests.Homework_2_10.ConnectionPayTest","Tests.Homework_2_10.ConnectionPayTest","paymentTest"
"","13650","Опция «Услуга связи» repetition 3 of 5","","Wed Aug 27 23:07:52 MSK 2025","passed","Wed Aug 27 23:08:06 MSK 2025","","Tests.Homework_2_10.ConnectionPayTest","Tests.Homework_2_10.ConnectionPayTest","paymentTest"
"","5619","Гиперссылка «Подробнее о сервисе» repetition 5 of 5","","Wed Aug 27 23:06:56 MSK 2025","passed","Wed Aug 27 23:07:02 MSK 2025","","Tests.Homework_2_9_PageObject.HrefHelpPayTest","Tests.Homework_2_9_PageObject.HrefHelpPayTest","helpHrefPay"
"","18733","Плейсхолдеры полей ввода repetition 1 of 5","","Wed Aug 27 23:08:52 MSK 2025","passed","Wed Aug 27 23:09:10 MSK 2025","","Tests.Homework_2_10.PlaceholdersPayTest","Tests.Homework_2_10.PlaceholdersPayTest","placeholdersPayTest"
